mese;giorno;data - ora;Gb(i);Gd(i);Gr(i);Altezza sole;Temperatura aria ext;Text media giornaliera;Text media mensile;Text media giornaliera per calcolo GG;Gradi giorno;secondi in un ora;secondi in un giorno;secondi in un mese;Htr [W/K];Hve [W/K];Qht orario [MJ];Qht giornaliero [MJ];Qht mensile [MJ]
;;06/01/2020 - 06:09;0;0;0;0;4,33;;;;;;;;;;93,8;;
;;06/01/2020 - 07:09;0;0;0;0;4,25;;;;;;;;;;94,2;;
;;06/01/2020 - 08:09;0;0;0;0;4,12;;;;;;;;;;95,0;;
;;06/01/2020 - 09:09;230,15;80,48;1,76;8,51;4,85;;;;;;;;;;90,6;;
;;06/01/2020 - 10:09;456,11;124,63;4,28;17,42;5,88;;;;;;;;;;84,5;;
;;06/01/2020 - 11:09;641,87;136,96;6,39;24,5;6,95;;;;;;;;;;78,1;;
;;06/01/2020 - 12:09;728,89;150,04;7,65;29,08;7,55;;;;;;;;;;74,5;;
;;06/01/2020 - 13:09;619,71;206,29;7,62;30,57;8,1;;;;;;;;;;71,2;;
;;06/01/2020 - 14:09;684,12;151,66;7,5;28,74;8,51;;;;;;;;;;68,7;;
;;06/01/2020 - 15:09;528,7;150,74;6,01;23,86;8,72;;;;;;;;;;67,5;;
;;06/01/2020 - 16:09;376,73;111,91;3,98;16,57;8,53;;;;;;;;;;68,6;;
;;06/01/2020 - 17:09;169,09;61,52;1,49;7,5;8;;;;;;;;;;71,8;;
;;06/01/2020 - 18:09;0;0;0;0;6,91;;;;;;;;;;78,3;;
;;06/01/2020 - 19:09;0;0;0;0;5,9;;;;;;;;;;84,4;;
;;06/01/2020 - 20:09;0;0;0;0;5,18;;;;;;;;;;88,7;;
;;06/01/2020 - 21:09;0;0;0;0;5,32;;;;;;;;;;87,8;;
;;06/01/2020 - 22:09;0;0;0;0;4,77;;;;;;;;;;91,1;;
;;06/01/2020 - 23:09;0;0;0;0;4,11;6,13;;5,715;;;;;;;95,1;;
