;mercoledì;01/01/2020 - 00:09; 3.95
;19/01/2020 - 17:09;11.14
;19/01/2020 - 18:09;10.47
;19/01/2020 - 19:09;9.43
;19/01/2020 - 20:09;9.14
;19/01/2020 - 21:09;8.95
;19/01/2020 - 22:09;8.47
;19/01/2020 - 23:09;8.22
lunedì;20/01/2020 - 00:09;7.92
;20/01/2020 - 01:09;7.97
;20/01/2020 - 02:09;8.06
;20/01/2020 - 03:09;8.25
;20/01/2020 - 04:09;8.56
;20/01/2020 - 05:09;8.76
;20/01/2020 - 06:09;8.94
;20/01/2020 - 07:09;9.27
;20/01/2020 - 08:09;9.67
;20/01/2020 - 09:09;10.81
;20/01/2020 - 10:09;11.92
;20/01/2020 - 11:09;12.4
;20/01/2020 - 12:09;12.69
;20/01/2020 - 13:09;12.72
;20/01/2020 - 14:09;12.65
;20/01/2020 - 15:09;12.67
;20/01/2020 - 16:09;12.34
;20/01/2020 - 17:09;11.75
;20/01/2020 - 18:09;11.34
;20/01/2020 - 19:09;11.13
;20/01/2020 - 20:09;11.17
;20/01/2020 - 21:09;11.12
;20/01/2020 - 22:09;11.11
;20/01/2020 - 23:09;11.02
martedì;21/01/2020 - 00:09;10.88
;21/01/2020 - 01:09;10.82
;21/01/2020 - 02:09;10.91
;21/01/2020 - 03:09;10.91
;21/01/2020 - 04:09;10.7
;21/01/2020 - 05:09;10.85
;21/01/2020 - 06:09;10.9
;21/01/2020 - 07:09;10.91
;21/01/2020 - 08:09;11.28
;21/01/2020 - 09:09;11.79
;21/01/2020 - 10:09;12.36
;21/01/2020 - 11:09;12.69
;21/01/2020 - 12:09;12.83
;21/01/2020 - 13:09;13.21
;21/01/2020 - 14:09;13.18
;21/01/2020 - 15:09;12.96
;21/01/2020 - 16:09;12.5
;21/01/2020 - 17:09;11.72
;21/01/2020 - 18:09;11.13
;21/01/2020 - 19:09;10.88
;21/01/2020 - 20:09;10.81
;21/01/2020 - 21:09;10.63
;21/01/2020 - 22:09;10.43
;21/01/2020 - 23:09;10.46
mercoledì;22/01/2020 - 00:09;10.21
;22/01/2020 - 01:09;10.19
;22/01/2020 - 02:09;10.23
;22/01/2020 - 03:09;10
;22/01/2020 - 04:09;9.94
;22/01/2020 - 05:09;9.77
;22/01/2020 - 06:09;9.82
;22/01/2020 - 07:09;9.56
;22/01/2020 - 08:09;10.05
;22/01/2020 - 09:09;11.15
;22/01/2020 - 10:09;11.87
;22/01/2020 - 11:09;12.49
;22/01/2020 - 12:09;12.18
;22/01/2020 - 13:09;12.18
;22/01/2020 - 14:09;12.21
;22/01/2020 - 15:09;12.21
;22/01/2020 - 16:09;11.9
;22/01/2020 - 17:09;11.44
;22/01/2020 - 18:09;10.79
;22/01/2020 - 19:09;10.61
;22/01/2020 - 20:09;10.3
;22/01/2020 - 21:09;9.82
;22/01/2020 - 22:09;9.4
;22/01/2020 - 23:09;8.99
giovedì;23/01/2020 - 00:09;8.73
;23/01/2020 - 01:09;8.83
;23/01/2020 - 02:09;9.1
;23/01/2020 - 03:09;9.46
;23/01/2020 - 04:09;9.33
;23/01/2020 - 05:09;8.94
;23/01/2020 - 06:09;8.69
;23/01/2020 - 07:09;8.78
;23/01/2020 - 08:09;8.71
;23/01/2020 - 09:09;10.18
;23/01/2020 - 10:09;11.94
;23/01/2020 - 11:09;12.76
;23/01/2020 - 12:09;13.15
;23/01/2020 - 13:09;13.24
;23/01/2020 - 14:09;13.21
;23/01/2020 - 15:09;13.05
;23/01/2020 - 16:09;12.73
;23/01/2020 - 17:09;11.97
;23/01/2020 - 18:09;10.91
;23/01/2020 - 19:09;10.31
;23/01/2020 - 20:09;9.84
;23/01/2020 - 21:09;9.19
;23/01/2020 - 22:09;8.73
;23/01/2020 - 23:09;8.52
venerdì;24/01/2020 - 00:09;8.22
;24/01/2020 - 01:09;7.86
;24/01/2020 - 02:09;7.76
;24/01/2020 - 03:09;8.04
;24/01/2020 - 04:09;8.25
;24/01/2020 - 05:09;8.88
;24/01/2020 - 06:09;9.35
;24/01/2020 - 07:09;9.77
;24/01/2020 - 08:09;9.84
;24/01/2020 - 09:09;10.75
;24/01/2020 - 10:09;11.32
;24/01/2020 - 11:09;11.77
;24/01/2020 - 12:09;12
;24/01/2020 - 13:09;12.37
;24/01/2020 - 14:09;12.06
;24/01/2020 - 15:09;12.1
;24/01/2020 - 16:09;11.84
;24/01/2020 - 17:09;11.52
;24/01/2020 - 18:09;11.18
;24/01/2020 - 19:09;10.98
;24/01/2020 - 20:09;11.12
;24/01/2020 - 21:09;11.06
;24/01/2020 - 22:09;11.07
;24/01/2020 - 23:09;11.04
sabato;25/01/2020 - 00:09;10.82
;25/01/2020 - 01:09;10.68
;25/01/2020 - 02:09;10.82
;25/01/2020 - 03:09;10.9
;25/01/2020 - 04:09;10.7
;25/01/2020 - 05:09;10.68
